Тип,Время,Температура,День недели,Средняя температура,Стандартное отклонение,Количество
Исходные данные,2023-01-01T00:00,-0.4,,,,
Исходные данные,2023-01-01T01:00,-0.2,,,,
Исходные данные,2023-01-01T02:00,0.0,,,,
Исходные данные,2023-01-01T03:00,0.3,,,,
Исходные данные,2023-01-01T04:00,0.5,,,,
Исходные данные,2023-01-01T05:00,0.7,,,,
Исходные данные,2023-01-01T06:00,0.9,,,,
Исходные данные,2023-01-01T07:00,1.1,,,,
Исходные данные,2023-01-01T08:00,1.3,,,,
Исходные данные,2023-01-01T09:00,1.6,,,,
Исходные данные,2023-01-01T10:00,1.9,,,,
Исходные данные,2023-01-01T11:00,2.1,,,,
Исходные данные,2023-01-01T12:00,2.4,,,,
Исходные данные,2023-01-01T13:00,2.7,,,,
Исходные данные,2023-01-01T14:00,2.8,,,,
Исходные данные,2023-01-01T15:00,2.6,,,,
Исходные данные,2023-01-01T16:00,2.8,,,,
Исходные данные,2023-01-01T17:00,3.2,,,,
Исходные данные,2023-01-01T18:00,3.5,,,,
Исходные данные,2023-01-01T19:00,3.7,,,,
Исходные данные,2023-01-01T20:00,4.4,,,,
Исходные данные,2023-01-01T21:00,4.8,,,,
Исходные данные,2023-01-01T22:00,5.4,,,,
Исходные данные,2023-01-01T23:00,5.9,,,,
Исходные данные,2023-01-02T00:00,4.9,,,,
Исходные данные,2023-01-02T01:00,3.7,,,,
Исходные данные,2023-01-02T02:00,2.5,,,,
Исходные данные,2023-01-02T03:00,0.9,,,,
Исходные данные,2023-01-02T04:00,0.7,,,,
Исходные данные,2023-01-02T05:00,1.1,,,,
Исходные данные,2023-01-02T06:00,0.3,,,,
Исходные данные,2023-01-02T07:00,0.6,,,,
Исходные данные,2023-01-02T08:00,-0.3,,,,
Исходные данные,2023-01-02T09:00,-1.1,,,,
Исходные данные,2023-01-02T10:00,-1.6,,,,
Исходные данные,2023-01-02T11:00,-1.7,,,,
Исходные данные,2023-01-02T12:00,-1.6,,,,
Исходные данные,2023-01-02T13:00,-1.6,,,,
Исходные данные,2023-01-02T14:00,-1.9,,,,
Исходные данные,2023-01-02T15:00,-2.1,,,,
Исходные данные,2023-01-02T16:00,-2.5,,,,
Исходные данные,2023-01-02T17:00,-2.8,,,,
Исходные данные,2023-01-02T18:00,-3.2,,,,
Исходные данные,2023-01-02T19:00,-3.8,,,,
Исходные данные,2023-01-02T20:00,-4.2,,,,
Исходные данные,2023-01-02T21:00,-4.8,,,,
Исходные данные,2023-01-02T22:00,-5.2,,,,
Исходные данные,2023-01-02T23:00,-5.4,,,,
Исходные данные,2023-01-03T00:00,-5.4,,,,
Исходные данные,2023-01-03T01:00,-5.7,,,,
Исходные данные,2023-01-03T02:00,-5.4,,,,
Исходные данные,2023-01-03T03:00,-5.6,,,,
Исходные данные,2023-01-03T04:00,-4.7,,,,
Исходные данные,2023-01-03T05:00,-4.3,,,,
Исходные данные,2023-01-03T06:00,-3.9,,,,
Исходные данные,2023-01-03T07:00,-3.8,,,,
Исходные данные,2023-01-03T08:00,-3.8,,,,
Исходные данные,2023-01-03T09:00,-3.7,,,,
Исходные данные,2023-01-03T10:00,-3.3,,,,
Исходные данные,2023-01-03T11:00,-3.0,,,,
Исходные данные,2023-01-03T12:00,-2.6,,,,
Исходные данные,2023-01-03T13:00,-2.1,,,,
Исходные данные,2023-01-03T14:00,-1.0,,,,
Исходные данные,2023-01-03T15:00,-0.2,,,,
Исходные данные,2023-01-03T16:00,1.0,,,,
Исходные данные,2023-01-03T17:00,2.7,,,,
Исходные данные,2023-01-03T18:00,2.7,,,,
Исходные данные,2023-01-03T19:00,3.1,,,,
Исходные данные,2023-01-03T20:00,2.4,,,,
Исходные данные,2023-01-03T21:00,2.2,,,,
Исходные данные,2023-01-03T22:00,2.1,,,,
Исходные данные,2023-01-03T23:00,0.9,,,,
Исходные данные,2023-01-04T00:00,0.4,,,,
Исходные данные,2023-01-04T01:00,0.2,,,,
Исходные данные,2023-01-04T02:00,-0.3,,,,
Исходные данные,2023-01-04T03:00,0.2,,,,
Исходные данные,2023-01-04T04:00,-1.5,,,,
Исходные данные,2023-01-04T05:00,-3.5,,,,
Исходные данные,2023-01-04T06:00,-3.8,,,,
Исходные данные,2023-01-04T07:00,-3.8,,,,
Исходные данные,2023-01-04T08:00,-3.9,,,,
Исходные данные,2023-01-04T09:00,-4.2,,,,
Исходные данные,2023-01-04T10:00,-4.5,,,,
Исходные данные,2023-01-04T11:00,-4.7,,,,
Исходные данные,2023-01-04T12:00,-4.7,,,,
Исходные данные,2023-01-04T13:00,-4.6,,,,
Исходные данные,2023-01-04T14:00,-4.8,,,,
Исходные данные,2023-01-04T15:00,-4.8,,,,
Исходные данные,2023-01-04T16:00,-4.9,,,,
Исходные данные,2023-01-04T17:00,-4.7,,,,
Исходные данные,2023-01-04T18:00,-4.3,,,,
Исходные данные,2023-01-04T19:00,-4.1,,,,
Исходные данные,2023-01-04T20:00,-3.8,,,,
Исходные данные,2023-01-04T21:00,-3.8,,,,
Исходные данные,2023-01-04T22:00,-3.5,,,,
Исходные данные,2023-01-04T23:00,-2.9,,,,
Исходные данные,2023-01-05T00:00,-2.7,,,,
Исходные данные,2023-01-05T01:00,-2.9,,,,
Исходные данные,2023-01-05T02:00,-3.5,,,,
Исходные данные,2023-01-05T03:00,-3.0,,,,
Исходные данные,2023-01-05T04:00,-3.2,,,,
Исходные данные,2023-01-05T05:00,-4.2,,,,
Исходные данные,2023-01-05T06:00,-4.6,,,,
Исходные данные,2023-01-05T07:00,-5.2,,,,
Исходные данные,2023-01-05T08:00,-6.7,,,,
Исходные данные,2023-01-05T09:00,-6.0,,,,
Исходные данные,2023-01-05T10:00,-5.9,,,,
Исходные данные,2023-01-05T11:00,-6.4,,,,
Исходные данные,2023-01-05T12:00,-7.2,,,,
Исходные данные,2023-01-05T13:00,-7.8,,,,
Исходные данные,2023-01-05T14:00,-8.2,,,,
Исходные данные,2023-01-05T15:00,-8.2,,,,
Исходные данные,2023-01-05T16:00,-8.5,,,,
Исходные данные,2023-01-05T17:00,-8.8,,,,
Исходные данные,2023-01-05T18:00,-9.3,,,,
Исходные данные,2023-01-05T19:00,-10.6,,,,
Исходные данные,2023-01-05T20:00,-11.9,,,,
Исходные данные,2023-01-05T21:00,-12.4,,,,
Исходные данные,2023-01-05T22:00,-13.4,,,,
Исходные данные,2023-01-05T23:00,-14.9,,,,
Исходные данные,2023-01-06T00:00,-16.5,,,,
Исходные данные,2023-01-06T01:00,-17.5,,,,
Исходные данные,2023-01-06T02:00,-18.2,,,,
Исходные данные,2023-01-06T03:00,-20.8,,,,
Исходные данные,2023-01-06T04:00,-21.8,,,,
Исходные данные,2023-01-06T05:00,-22.5,,,,
Исходные данные,2023-01-06T06:00,-23.2,,,,
Исходные данные,2023-01-06T07:00,-23.9,,,,
Исходные данные,2023-01-06T08:00,-24.3,,,,
Исходные данные,2023-01-06T09:00,-24.7,,,,
Исходные данные,2023-01-06T10:00,-24.5,,,,
Исходные данные,2023-01-06T11:00,-24.0,,,,
Исходные данные,2023-01-06T12:00,-23.5,,,,
Исходные данные,2023-01-06T13:00,-23.2,,,,
Исходные данные,2023-01-06T14:00,-23.2,,,,
